"","Day","status","Genotype","Treatment","Bacteria","N_worms","MeanWLS","lifespan_type","label_"
"27",14,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"28",14,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"29",14,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"30",14,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"31",3,0,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"32",6,0,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"33",6,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"34",7,0,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"35",10,0,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"36",10,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"37",10,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"38",12,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"39",12,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"40",12,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"41",12,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"42",12,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"43",13,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"44",13,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"45",13,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"46",14,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"47",14,1,"N2","0.1mM drug","PAD12",17,11.7692307692308,"0.1mM drug","N2 + 0.1mM drug (11.8, 17)"
"48",3,0,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"49",6,0,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"50",6,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"51",7,0,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"52",10,0,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"53",10,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"54",10,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"55",12,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"56",12,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"57",12,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"58",12,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"59",12,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"60",13,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"61",13,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"62",13,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"63",14,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"64",14,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"65",16,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"66",16,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"67",16,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"68",16,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"69",16,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"70",17,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"71",17,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"72",17,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"73",18,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
"74",18,1,"N2","1mM drug","PAD12",27,13.9130434782609,"1mM drug","N2 + 1mM drug (13.9, 27)"
