Lifespan Number → ,,WAMLS1`,,,,,,,,,,,,,,,,Lifespan Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worm Strain → ,,,yfg-2,,Date Eggs Picked → ,,,,,06/21/23,,,Temp → ,,20c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
10,A,11,11,11,11,11,11,11,10,,9,,7,5,4,,2,1,0,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,0,,1,,2,2,1,,2,1,1,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,1,,0,,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
x,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,A,78,78,78,75,75,74,73,66,0,64,0,44,37,32,0,18,14,5,4,3,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,D,0,0,0,0,0,1,1,4,0,1,0,11,6,5,0,13,3,9,4,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,M-E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,M-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,M,0,0,0,3,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,M-All,0,0,0,3,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
